Former firm,New firm,New job title,Team (IMP defined),Seniority (IMP defined)
 B3,Santander,Chief Executive Officer,Allocation,C-level
21.co,Clearlake Capital Group,"Managing Director - Clearlake Credit, Europe",Strategy,Managing Director
A1 Sewer and Drain,KKR,Executive Advisor,Strategy,Advisor
Advent International,"Apollo Global Management, Inc.","Managing Director, Hybrid Value",Portfolio operations,Managing Director
Alcyra,Blue Owl Capital,Managing Director,Business development,Managing Director
AlixPartners,TPG,Partner,Investment team,Senior Managing Director
Amazon Web Services (AWS),KKR,Global Head of AI Product Management,Tech,Senior Managing Director
American Diabetes Association,V Foundation ,Chief Executive Officer,Allocation,C-level
"Apollo Global Management, Inc.",Ares Management Corporation,Head of Client Services and Product Management Asia,IR (non-capital raising),Senior Managing Director
Ares Management Corporation,Macquarie Asset Management,"Senior Managing Director, Head of EMEA Lending and Asset Finance",Capital markets,Senior Managing Director
Arjun Infrastructure Partners,KKR,"Managing Director, Fundraising North America",Business development,Managing Director
Asia Asset Backed Advisors Limited,"Apollo Global Management, Inc.",Managing Director,IR (non-capital raising),Managing Director
Aspen Insurance Group,PartnerRe,Chief Executive Officer of P&C Americas,Allocation,C-level
ATLAS SP Partners,"Apollo Global Management, Inc.","Partner, Head of ABF Australia & Australia Country Coordinator, Apollo Global Management, Inc.",Investment team,Partner
Australian Unity,Future Group ,Chief Investment Officer and Executive Director,Allocation,C-level
Bain Capital,Partners Group,"Partner, Global Head of Special Opportunities",Strategy,Partner
Baird,Perella Weinberg Partners ,Partner,Allocation,Partner
BDT & MSD Partners,Meta,President and Vice Chairman,Allocation,Advisor
Beckway,Warburg Pincus LLC,"Operating Advisor, Operations",Ops,Advisor
Benchling,EQT Group,Operating Partner - CPO - Early Stage Tech,Ops,C-level
Bird,EQT Group,Advisor,Strategy,Advisor
BlackRock,HarbourVest Partners,Head of EMEA Wealth,Business development,Senior Managing Director
BlackRock,Barings,Managing Director,Investment team,Managing Director
Blackstone,Blue Owl Capital,"Managing Director, Strategic Equity ",Investment team,Managing Director
Blackstone,Blue Owl Capital,President of Global Private Wealth,Business development,Senior Managing Director
Blackstone,Blue Owl Capital,Senior Managing Director and Head of Real Assets Capital Markets and Asset Management,Capital markets,Senior Managing Director
Blue Owl Capital,TPG,"Managing Director, Head of Asia Private Wealth ",Business development,Managing Director
BlueCove Limited,Ares Management Corporation,Head of Systematic Credit,Quant/data science,Senior Managing Director
BlueCove Limited,Ares Management Corporation,"Managing Director, Ares Systematic Credit",Quant/data science,Managing Director
