Former firm,New firm,Number of Moves,New job titles,Teams (IMP defined),Seniorities (IMP defined)
AMP Capital,IFM Investors,1,"Head of Real Estate","Deal/investment team","Senior Managing Director"
CBRE Asia Pacific,IFM Investors,1,"Head of Property","Deal/investment team","Managing Director"
Dexus,PGIM,1,"Head of Real Estate Equity, Australia","Deal/investment team","Senior Managing Director"
ISPT,IFM Investors,6,"Chief Sustainability Officer, Real Estate; Head of Portfolio, Office; Head of Property Operations; Head of Strategic Research | Real Estate; Head of Capital Works & Technical Services; Head of Portfolio, Industrial","ESG; Portfolio operations; Strategy; Technology; Deal/investment team","Senior Managing Director; Advisor"
Rest,CVC,1,"Managing Director / Deputy CIO","Deal/investment team","Managing Director"
Other,PGIM,1,"Head of Australia Real Estate Debt","Deal/investment team","Senior Managing Director"
Other,EQT,1,"Industry Advisor","Strategy","Advisor"
McKinsey & Company,CVC,1,"Operating Partner","Operations","Senior Managing Director"
AURIN Investment Group,Apollo Global Management,1,"Advisor","Strategy","Advisor"
BlackRock,Ares Management Corporation,1,"Head of Wealth Distribution Germany & Austria","Deal/investment team","Senior Managing Director"
BlackRock,Blackstone,2,"Managing Director,  Blackstone Institutional Client Solutions; Managing Director","IR (capital raising); Deal/investment team","Managing Director"
Deutsche Bank,DWS Group,1,"Head of Private Corporate Credit","Deal/investment team","Senior Managing Director"
Vitruvian Partners,EQT,1,"Managing Director, Growth investment team","IR (capital raising)","Managing Director"
Bharti Realty,Brookfield,1,"Head of Operations","Operations","Managing Director"
Deutsche Bank,Blackstone,1,"Managing Director","IR (non-capital raising)","Managing Director"
Other,Bain Capital,1,"Partner, Head of India Special Situations and Real Estate","Deal/investment team","Partner"
BlackRock,IFM Investors,1,"Global Client Solutions IFM Investors","IR (non-capital raising)","Senior Managing Director"
Volue,Partners Group,1,"Managing Director","Technology","Managing Director"
Asian Development Bank (ADB),EQT,1,"Advisor","Strategy","Senior Managing Director"
Google,Warburg Pincus LLC,1,"Senior Technology & AI Advisor","Technology","Advisor"
Granite Asia,"Oaktree Capital Management, L.P.",1,"Managing Director and Co-Head of Asia (Performing Credit)","IR (capital raising)","Managing Director"
Santander Corporate & Investment Banking,Apollo Global Management,2,"Managing Director","IR (non-capital raising); Deal/investment team","Managing Director"
Bardo,CVC,1,"Managing Director, Digital Enablement","Technology","Managing Director"
BlackRock,DWS Group,1,"Head of Institutional Coverage for Switzerland","IR (non-capital raising)","Senior Managing Director"
